,ML_Algorithm,subject,trainVersion,vtr,testVersion,vts,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
0,RandomForest,apns,allProj,v,cp,v,0.583710407239819,0.5535714285714286,0.583710407239819,0.49736809671080734,0.5722027696907703,0.3981900452488688
1,RandomForest,apns,allProj,v,cp,v,0.583710407239819,0.5535714285714286,0.583710407239819,0.49736809671080734,0.5722027696907703,0.3981900452488688
2,RandomForest,assj,allProj,v,cp,v,0.8398853398853399,0.8556029882604056,0.8398853398853399,0.7979053936848184,0.5478922147371346,0.11691236691236695
3,RandomForest,assj,allProj,v,cp,v,0.8398853398853399,0.8556029882604056,0.8398853398853399,0.7979053936848184,0.5478922147371346,0.11691236691236695
4,RandomForest,joda,allProj,v,cp,v,0.7609778317643486,0.7673664559656764,0.7609778317643486,0.7067812756915237,0.5774085195442683,0.1923777710294564
5,RandomForest,joda,allProj,v,cp,v,0.7609778317643486,0.7673664559656764,0.7609778317643486,0.7067812756915237,0.5774085195442683,0.1923777710294564
6,RandomForest,lafj,allProj,v,cp,v,0.6851908087863144,0.6745524296675192,0.6851908087863144,0.5967849164989801,0.5584553743521224,0.3034720113371798
7,RandomForest,lafj,allProj,v,cp,v,0.6851908087863144,0.6745524296675192,0.6851908087863144,0.5967849164989801,0.5584553743521224,0.3034720113371798
8,RandomForest,lang,allProj,v,cp,v,0.8145502890888291,0.8440507509407573,0.8145502890888291,0.7810024572973937,0.5632476963392735,0.10413381566335833
9,RandomForest,lang,allProj,v,cp,v,0.8145502890888291,0.8440507509407573,0.8145502890888291,0.7810024572973937,0.5632476963392735,0.10413381566335833
10,RandomForest,msg,allProj,v,cp,v,0.6020671834625323,0.5883353584447144,0.6020671834625323,0.483236346444921,0.5386710239651415,0.3979328165374677
11,RandomForest,msg,allProj,v,cp,v,0.6020671834625323,0.5883353584447144,0.6020671834625323,0.483236346444921,0.5386710239651415,0.3979328165374677
12,RandomForest,uaa,allProj,v,cp,v,0.48004725649776847,0.4642229135668876,0.48004725649776847,0.3417216084269195,0.526875298614429,0.5199527435022315
13,RandomForest,uaa,allProj,v,cp,v,0.48004725649776847,0.4642229135668876,0.48004725649776847,0.3417216084269195,0.526875298614429,0.5199527435022315
14,RandomForest,vrapt,allProj,v,cp,v,0.6916230366492147,0.6956194975305992,0.6916230366492147,0.5866190968615198,0.5129293503356658,0.2853403141361256
15,RandomForest,vrapt,allProj,v,cp,v,0.6916230366492147,0.6956194975305992,0.6916230366492147,0.5866190968615198,0.5129293503356658,0.2853403141361256
16,RandomForest,wire,allProj,v,cp,v,0.7006892024942566,0.6909469302809573,0.7006892024942566,0.618601080373568,0.5639328407901829,0.2855267476206105
17,RandomForest,wire,allProj,v,cp,v,0.7006892024942566,0.6909469302809573,0.7006892024942566,0.618601080373568,0.5639328407901829,0.2855267476206105
